old	new	status
CNHPHJHAKAD	DrawQuakeEffect	applied_or_already_applied
CNJPAHDKIDJ	PerkUsesLeft	applied_or_already_applied
CNLONHOKBHI	IsMagicAnimation	applied_or_already_applied
CNMECAIJNNJ	PerkActionFlag	applied_or_already_applied
CNMGIOAKKKE	_resultCallback	applied_or_already_applied
CNNBDLALOAM	get_DistanceNode	applied_or_already_applied
CNNILIIJFFC	CompilePerks	applied_or_already_applied
CNOPDMEAODG	PerkVariables	applied_or_already_applied
CNPIMGBPOOL	SetWeaponBot	applied_or_already_applied
COAFCOJEOEH	AddMessage	applied_or_already_applied
COBMNCDDCPN	LoadAsset	applied_or_already_applied
CODBLJFDLAC	IsFightEnd	applied_or_already_applied
COEJLCOJOOF	currencyName	applied_or_already_applied
COEMIAPGNJG	CreateCell	applied_or_already_applied
COIELFGNIDD	CrossModel	applied_or_already_applied
COKBDIICIPD	get_EvadeUnsafeDodgesAnimations	applied_or_already_applied
COMNPJAMDPM	_currentFrame	applied_or_already_applied
CONFABJIJGJ	_Memory	applied_or_already_applied
CONFFGGKGPC	MoveCellToReusable	applied_or_already_applied
CPALPEEEKJD	IsUriProtected	applied_or_already_applied
CPDCMKAAMLH	GetLoadAudioClip	applied_or_already_applied
CPEKCOFEHFH	IsUnicode	applied_or_already_applied
CPHCBNPEHHG	SetSaleEndTime	applied_or_already_applied
CPIPCEMEJPH	_completed	applied_or_already_applied
CPKACAAIFGI	m_PosMask	applied_or_already_applied
CPKGFAGGBPK	Ratio	applied_or_already_applied
CPOKKFKMBNM	CUSTOM_ARGS_SEPARATOR	applied_or_already_applied
DACLDLJLNNC	AddDelay	applied_or_already_applied
DAELKEKILOB	texture	applied_or_already_applied
DAFLOPDJBDK	InitVariables	applied_or_already_applied
DAILENNNPFB	set_Message	applied_or_already_applied
DAJBKCFALHP	DecisionsToAimationsList	applied_or_already_applied
DAKCHFBMLIC	HasAny	applied_or_already_applied
DAKNNGEFJMK	tabs	applied_or_already_applied
DALDHLJOPMD	set_IsImmortalityEnabled	applied_or_already_applied
DAMDKMNJDGK	OnClickButton	applied_or_already_applied
DAOMFPGMKKF	OnStartIntervals	applied_or_already_applied
DBCLHKNNPCE	Names	applied_or_already_applied
DBEDGEMEFNB	frame	applied_or_already_applied
DBEODJFNBHF	_nameRules	applied_or_already_applied
DBLFPBDKILL	get_IsEnabled	applied_or_already_applied
DBNPKPGHMFJ	SetIsBigController	applied_or_already_applied
DBOJBNAAOAD	QuestActionOpenUrl	applied_or_already_applied
DCBIGGOMPBM	EnableFinishButton	applied_or_already_applied
DCHDCPKCHJK	hasFormatReader	applied_or_already_applied
DCJFNDGIDBP	emittedAliases	applied_or_already_applied
DCNCEKPIGMP	ParseFloat	applied_or_already_applied
DDAFBBCIPBF	DefaultHandle	applied_or_already_applied
DDEPKKLLLFA	AddFights	applied_or_already_applied
DDGFMLHBJIG	timeTotal	applied_or_already_applied
DDGIDPBIMIL	_currencyName	applied_or_already_applied
DDHOIEAJLDG	FromCamelCase	applied_or_already_applied
DDNKKOGCDGL	UpdateFightDataDamage	applied_or_already_applied
DDPNEOEIMED	MUSIC_MENU	applied_or_already_applied
DEDFBPDGPJD	get_Throws	applied_or_already_applied
DEEECPINBLE	SetBodyLength	applied_or_already_applied
DEJDBCIIBNO	Content	applied_or_already_applied
DEJLIPMOIHC	Strike	applied_or_already_applied
DEMGOFLPIFL	set_LogNow	applied_or_already_applied
DEOLDIBFHLF	set_InvocationId	applied_or_already_applied
DFAGJILLFDL	SCORE_TABLE_X	applied_or_already_applied
DFAJICELODJ	mappingAlias	applied_or_already_applied
DFALCEKPMEI	_CurrentAlpha	applied_or_already_applied
DFBNJNGHEKI	GetPublicMethods	applied_or_already_applied
DFEAFNMOIIA	countFuncName	applied_or_already_applied
DFEHBFJBFOE	isRenderFight	applied_or_already_applied
DFFKEMBPKKO	Init	applied_or_already_applied
DFGNPNMPMLI	nonlimit	applied_or_already_applied
DFIJHNENENB	RenderEffect	applied_or_already_applied
DFLKLCHAEJP	ReleaseAnyKey	applied_or_already_applied
DFMPKBNMCND	DecodeDirectBits	applied_or_already_applied
DFNBHOEGAHO	_Duration	applied_or_already_applied
DFOBAAFHHGF	set_TacticEquivalent	applied_or_already_applied
